Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,,,,,,,,,,,,
2018,37,37,2018-01-05,@,MIL,W,129,110,136.9,116.7,94.3,0.326,0.384,0.656,60.6,52.1,9.5,8.3,,0.616,10.1,34.3,0.267,,0.578,10.9,86.1,0.273,7,17,0.412,21,29,0.724,5,28,26,4,4,11,23
2018,38,38,2018-01-08,@,BRK,W,114,113,99.3,98.5,104,0.228,0.337,0.513,48.1,44.2,6.1,17.9,,0.475,11.9,15.4,0.178,,0.45,12.5,79.6,0.23,12,33,0.364,23,28,0.821,11,55,22,8,2,16,27
2018,39,39,2018-01-09,,MIA,L,89,90,97.7,98.8,91,0.167,0.233,0.461,36.6,42.9,7.7,16,,0.428,4.9,13.7,0.133,,0.423,11.4,60,0.082,4,22,0.182,8,10,0.8,20,64,18,2,14,13,19
2018,40,40,2018-01-11,,CLE,W,133,99,134.9,100.4,98.6,0.123,0.396,0.595,64.3,58.5,3,11.1,,0.585,7.5,40.9,0.085,,0.416,8.1,83.3,0.281,6,26,0.231,25,30,0.833,9,35,18,3,4,9,16
2018,41,41,2018-01-13,,GSW,L,125,127,129.4,131.5,96.6,0.344,0.269,0.584,59.5,48.9,3.1,3.5,,0.527,8.5,34.1,0.29,,0.636,6,90.9,0.296,9,24,0.375,24,28,0.857,3,30,28,4,3,6,20
2018,42,42,2018-01-15,@,PHI,L,111,117,103.7,109.3,107.1,0.316,0.337,0.513,47.8,52.6,7.5,1.8,,0.447,12.2,24,0.274,,0.531,17.7,76.2,0.383,6,25,0.24,31,38,0.816,10,48,22,8,9,21,28
2018,43,43,2018-01-17,,DET,W,96,91,100.5,95.3,95.5,0.288,0.388,0.533,53.8,70.6,6.3,13.3,,0.494,18.2,27.9,0.213,,0.477,12.9,77.1,0.08,10,28,0.357,7,15,0.467,11,42,22,14,7,14,20
2018,44,44,2018-01-19,,SAS,W,86,83,92.7,89.5,92.8,0.165,0.306,0.472,47.2,47.1,8.6,1.4,,0.453,12.5,18.8,0.106,,0.368,10.7,70.7,0.176,5,20,0.25,16,20,0.8,17,56,18,9,7,12,13
2018,45,45,2018-01-20,@,MIN,L,109,115,116.8,123.3,93.3,0.253,0.398,0.591,44.3,59,7.5,10.8,,0.542,12.4,21.6,0.229,,0.512,10,64.3,0.395,7,16,0.438,32,42,0.762,15,44,21,4,3,11,20
2018,46,46,2018-01-24,@,ATL,W,108,93,105.3,90.7,102.5,0.281,0.404,0.54,52.5,64.1,9.8,16.4,,0.517,14.5,25.5,0.18,,0.431,13.6,76.9,0.128,7,21,0.333,12,17,0.706,12,47,19,8,9,16,21
2018,47,47,2018-01-26,,UTA,L,93,97,97.6,101.8,95.3,0.179,0.284,0.454,52.5,62.2,10.5,19.7,,0.426,9.7,30.2,0.126,,0.471,11.9,78.3,0.172,10,21,0.476,15,21,0.714,10,47,20,7,5,13,16
2018,48,48,2018-01-28,,LAL,W,123,111,118.7,107.1,103.7,0.272,0.337,0.597,54.6,50,3.9,6.1,,0.565,12,27.9,0.207,,0.484,11.7,75.9,0.253,8,25,0.32,23,33,0.697,13,44,22,9,4,14,21
2018,49,49,2018-01-30,,MIN,W,109,104,121,115.5,90.1,0.321,0.358,0.59,49.4,71.8,3.3,5.5,,0.537,8,23.1,0.272,,0.524,7.7,75,0.176,5,12,0.417,15,24,0.625,10,40,21,4,2,8,19
2018,50,50,2018-02-01,@,WAS,L,119,122,119.6,122.6,99.5,0.289,0.349,0.636,42.1,45.5,7,5.5,,0.602,16.1,20,0.229,,0.576,14.2,66.7,0.282,10,30,0.333,24,26,0.923,12,44,30,10,2,16,21
2018,51,51,2018-02-02,,POR,W,130,105,140.8,113.8,92.3,0.212,0.404,0.601,53.8,45.7,5.4,7.7,,0.561,5.3,34.7,0.192,,0.555,10.3,86.2,0.329,7,21,0.333,24,33,0.727,4,36,20,4,2,10,15
2018,52,52,2018-02-04,,MEM,W,101,86,107.7,91.7,93.8,0.169,0.393,0.528,49.4,51.2,13.9,12.5,,0.494,10.3,23.8,0.146,,0.407,17.3,72.3,0.247,8,25,0.32,20,23,0.87,13,45,17,7,6,19,23
2018,53,53,2018-02-06,,BOS,W,111,91,115.3,94.5,96.3,0.213,0.45,0.634,51.3,72.5,10.4,6.7,,0.606,14.6,14.7,0.175,,0.458,15.6,79.5,0.181,10,23,0.435,15,20,0.75,9,38,21,3,3,17,19
2018,54,54,2018-02-08,,NYK,W,113,88,114.4,89.1,98.8,0.147,0.453,0.559,54.7,72.1,11.1,8.9,,0.537,7.3,19.1,0.116,,0.44,14.2,89.6,0.181,7,27,0.259,15,18,0.833,5,43,19,4,8,15,15
2018,55,55,2018-02-11,@,CHO,W,123,103,126.6,106,97.1,0.115,0.425,0.673,48.8,71.4,7.2,12.1,,0.667,11.6,16.2,0.08,,0.483,11.6,75.6,0.191,10,23,0.435,17,23,0.739,11,42,26,5,5,13,13
2018,56,56,2018-02-13,,MIA,W,115,112,116,112.9,99.2,0.256,0.389,0.574,44,57.1,7.1,5.3,,0.539,7.4,14.6,0.2,,0.558,14.5,76.7,0.186,12,29,0.414,16,19,0.842,10,51,24,5,3,16,18
